cnpj_fundo,forecast,porc_cdi,apr,mse,mae
31.544.553/0001-39,12.294654225363423,12.215934745939066,BOM,0.15147220363397115,0.06499630130862122
45.830.347/0001-08,3.8880872318899318,3.863192818656296,BOM,0.26199337976198533,0.30511616012631815
26.269.620/0001-14,1.4974067771999815,1.487819270318778,BOM,0.0005012647651170391,0.014043731788181205
32.355.677/0001-39,1.4682022839799342,1.4588017658875976,BOM,0.0005818521382877807,0.007025400941934286
29.127.751/0001-55,1.4128534160772461,1.4038072824180265,BOM,0.0014645143410908497,0.02774513886005137
35.101.715/0001-15,1.3887865828699277,1.379894542896203,BOM,0.0007068726616232387,0.02642446364025663
40.755.252/0001-45,1.2980175298773817,1.2897066605871461,BOM,0.0007176731442327643,0.019744756609891428
38.015.671/0001-07,1.2775812313897206,1.2694012104136239,BOM,0.0007687628825100164,0.01457527358405691
23.964.702/0001-90,1.2554576409580913,1.2474192715884451,BOM,0.011301375797554015,0.06582027504274089
07.973.152/0001-10,1.2154814254254298,1.2076990133863765,BOM,0.000780836500161375,0.017914084487016604
32.669.585/0001-23,1.2142772040223637,1.2065025023003493,BOM,0.005213899812309898,0.04720052636252071
32.669.585/0001-23,1.2142772040223637,1.2065025023003493,BOM,0.005213899812309898,0.04720052636252071
36.347.600/0001-78,1.2121033305678273,1.2043425475932243,BOM,0.00020256999089700572,0.010364855541132279
36.347.600/0001-78,1.2121033305678273,1.2043425475932243,BOM,0.00020256999089700572,0.010364855541132279
34.849.937/0001-58,1.203464180420426,1.195758711681572,BOM,0.00046780952233585536,0.01807183484844179
40.151.745/0001-76,1.1978971498927855,1.1902273254052493,BOM,0.0007299054280054211,0.014988547499070163
23.129.095/0001-43,1.195906953511145,1.1882498717344037,BOM,0.003700953918881632,0.035448918202196186
05.124.921/0001-80,1.1939993302874727,1.1863544625270308,BOM,2.5969609562961415e-05,0.00045312397096869357
33.269.939/0001-05,1.174949137816064,1.1674262434927594,BOM,1.3230931550420638e-06,0.0009823205597654899
22.443.309/0001-99,1.1741338181817345,1.1666161441383989,BOM,0.011983504099691221,0.031130508749958704
14.485.349/0001-75,1.1660063397107936,1.158540703802288,BOM,0.00021584889914497328,0.011165434393138099
14.485.349/0001-75,1.1660063397107936,1.158540703802288,BOM,0.00021584889914497328,0.011165434393138099
37.443.687/0001-40,1.1647588643052003,1.1573012156578832,BOM,0.00254453148105833,0.035441853251021616
37.443.687/0001-40,1.1647588643052003,1.1573012156578832,BOM,0.00254453148105833,0.035441853251021616
43.943.007/0001-50,1.1642773368774246,1.1568227713252275,BOM,0.05379077678119686,0.1356627962345114
46.063.670/0001-58,1.160910645286649,1.153477635786745,BOM,1.822893361147612e-05,0.004243422205073945
05.075.861/0001-52,1.1547727982518081,1.147379087793139,BOM,0.00019045571991611752,0.008352466548045178
17.301.119/0001-05,1.1531556427079561,1.1457722864764353,BOM,0.0004834465785438957,0.016658595182697994
07.187.470/0001-55,1.1516076943405347,1.144234249220577,BOM,0.00016645234955384123,0.010277262900943645
32.669.614/0001-57,1.1515903022161211,1.1442169684534214,BOM,0.0002214382674104603,0.008872612098360533
26.406.415/0001-53,1.1495659375289504,1.1422055652478358,BOM,0.001736098523147827,0.03142157448015375
37.515.014/0001-58,1.148949874382317,1.141593446593606,BOM,0.00038761214306240043,0.013040912410359564
35.190.506/0001-95,1.1469592433071807,1.139615561012494,BOM,0.0005571583450559384,0.0176199262796657
35.190.506/0001-95,1.1469592433071807,1.139615561012494,BOM,0.0005571583450559384,0.0176199262796657
11.886.391/0001-00,1.1445242517075669,1.1371961600319909,BOM,0.001994271169507147,0.030686157568498653
17.301.225/0001-80,1.1432867400097384,1.1359665718003167,BOM,0.00046505116080822857,0.016568737538229624
04.328.542/0001-49,1.1431855313028816,1.135866011106537,BOM,0.00016463336645098728,0.010349377519690233
35.741.193/0001-16,1.1415721808263635,1.134262990494309,BOM,0.012570496874316071,0.018405740949536054
33.521.468/0001-80,1.1414154441720936,1.1341072573841489,BOM,0.40484848182944677,0.08274937028655215
32.398.779/0001-31,1.1363005071178978,1.1290250699441198,BOM,0.004741062471887515,0.035125490330076066
44.680.491/0001-34,1.1359305908614576,1.128657522165443,BOM,0.00023731317991389133,0.009209783431151608
44.680.491/0001-34,1.1359305908614576,1.128657522165443,BOM,0.00023731317991389133,0.009209783431151608
44.680.491/0001-34,1.1359305908614576,1.128657522165443,BOM,0.00023731317991389133,0.009209783431151608
40.212.817/0001-48,1.1340043808156013,1.1267436451424835,BOM,0.000397731976463303,0.014741928024595048
40.212.817/0001-48,1.1340043808156013,1.1267436451424835,BOM,0.000397731976463303,0.014741928024595048
21.219.412/0001-97,1.133257575614854,1.1260016215415727,BOM,0.0002171596179287753,0.011306212754079503
06.234.360/0001-34,1.1324792346349979,1.1252282640769604,BOM,0.00015450804326729248,0.009557564273060185
06.234.360/0001-34,1.1324792346349979,1.1252282640769604,BOM,0.00015450804326729248,0.009557564273060185
05.857.973/0001-65,1.1315063841759732,1.1242616425268817,BOM,0.00043926784384128224,0.016944878282613485
32.669.585/0001-23,1.128408578329562,1.1211836711271428,BOM,0.005213343273698175,0.04710298129972494
37.069.981/0001-33,1.1251253758609319,1.1179214901516297,BOM,0.00029094658296432285,0.01695283055323917
37.069.981/0001-33,1.1251253758609319,1.1179214901516297,BOM,0.00029094658296432285,0.01695283055323917
33.913.576/0001-07,1.1218713991846214,1.1146883478432748,BOM,1.5286168221244743,0.20685597337929315
36.165.320/0001-49,1.1206936766071538,1.1135181659177447,BOM,0.00034801248012179456,0.013913764261445057
33.824.409/0001-81,1.1203516081840894,1.1131782876699954,BOM,0.00037300785768929953,0.013386257723472655
12.610.561/0001-91,1.119154225874283,1.111988571888289,BOM,0.0006324637105464044,0.017349769470659686
44.933.123/0001-50,1.1179594074143977,1.1108014035408382,BOM,0.0001413974269724085,0.008953764658669879
32.471.551/0001-20,1.1178814316250167,1.110723927010195,BOM,0.00024467348016678415,0.010965072690924761
32.471.551/0001-20,1.1178814316250167,1.110723927010195,BOM,0.00024467348016678415,0.010965072690924761
30.654.823/0001-00,1.115404030392687,1.108262387934845,BOM,6.108599983883429e-05,0.0023803785774762355
05.586.710/0001-69,1.1144460506121885,1.107310541850198,BOM,0.0003499755445302464,0.014908891088205803
05.586.710/0001-69,1.1144460506121885,1.107310541850198,BOM,0.0003499755445302464,0.014908891088205803
35.036.223/0001-93,1.1139206282453575,1.106788483626387,BOM,1.8964421024639506e-05,0.003129558109818908
35.036.223/0001-93,1.1139206282453575,1.106788483626387,BOM,1.8964421024639506e-05,0.003129558109818908
07.471.762/0001-15,1.113243137757237,1.1061153309339915,BOM,0.00042609679359185314,0.003785755070066575
07.471.762/0001-15,1.113243137757237,1.1061153309339915,BOM,0.00042609679359185314,0.003785755070066575
07.471.762/0001-15,1.113243137757237,1.1061153309339915,BOM,0.00042609679359185314,0.003785755070066575
14.706.288/0001-29,1.1123856401215915,1.1052633236331084,BOM,0.00017336232859491632,0.011264497212511285
29.800.227/0001-01,1.1118317813400924,1.1047130110656107,BOM,0.0002894890665241271,0.013297588667203932
29.800.227/0001-01,1.1118317813400924,1.1047130110656107,BOM,0.0002894890665241271,0.013297588667203932
41.409.914/0001-98,1.1109854871523563,1.1038721354798684,BOM,0.00109686565100709,0.024480029330536668
39.895.244/0001-15,1.1102022551020208,1.103093918261031,BOM,3.9824294008692104e-05,0.004016758697530428
18.956.713/0001-99,1.1101237309053218,1.1030158968343795,BOM,0.00010952714232988735,0.008392964960866207
28.065.477/0001-74,1.1074046497175953,1.1003142252176492,BOM,0.00027651836141393774,0.002492471303516261
13.849.184/0001-00,1.1071277106327706,1.1000390593018938,BOM,1.6525406879704718e-05,0.000520799283945151
33.019.398/0001-67,1.1071180118351018,1.1000294226031089,BOM,0.00025323386569988375,0.012701651785370574
30.507.449/0001-01,1.106806092221349,1.0997195001296713,BOM,0.0014244634130115709,0.016860649321283627
34.674.552/0001-05,1.1066840467021,1.0995982360362,BOM,0.0002735604416598374,0.013562186372802616
21.888.761/0001-00,1.1065505069734896,1.0994655513278062,BOM,0.000197433633934421,0.011011253801909067
35.727.788/0001-17,1.1037202504846355,1.0966534162365416,BOM,0.00013121151166923893,0.008518590442279674
35.727.788/0001-17,1.1037202504846355,1.0966534162365416,BOM,0.00013121151166923893,0.008518590442279674
05.164.370/0001-88,1.1005377235427918,1.0934912661885512,BOM,0.0003076498457745853,0.01059088059693059
05.164.370/0001-88,1.1005377235427918,1.0934912661885512,BOM,0.0003076498457745853,0.01059088059693059
34.246.418/0001-03,1.0990224181413253,1.0919856628942108,BOM,0.00036546868672663994,0.015717505574459834
34.232.072/0001-86,1.0990222662844262,1.091985512009612,BOM,0.0003654675108515062,0.015717479848118807
23.281.771/0001-08,1.0976014253672541,1.0905737683679952,BOM,0.00014510650524076954,0.009729633530805793
36.492.401/0001-53,1.0975393241762603,1.0905120647948063,BOM,0.00020359480262935407,0.011557139838662805
36.492.401/0001-53,1.0975393241762603,1.0905120647948063,BOM,0.00020359480262935407,0.011557139838662805
23.732.059/0001-70,1.096753422049856,1.0897311945957044,BOM,0.00013876043845165804,0.0095248726562729
08.532.592/0001-02,1.0964041052832727,1.0893841144136982,BOM,0.0010267088314861777,0.021581379822013864
37.331.299/0001-77,1.0957362989136352,1.088720583834889,BOM,0.003282128179766877,0.02734907090372508
19.670.719/0001-68,1.095649161757586,1.08863400459543,BOM,0.00012258709954124605,0.008349346121019974
19.670.719/0001-68,1.095649161757586,1.08863400459543,BOM,0.00012258709954124605,0.008349346121019974
23.611.331/0001-63,1.095032785794766,1.088021575127894,BOM,0.00012196838543819613,0.008330612418777633
33.897.824/0001-65,1.0947635612063489,1.0877540743146286,BOM,0.00011711878243940804,0.008577536943169942
36.114.774/0001-90,1.0941813586294857,1.0871755994297305,BOM,0.00012487622727286166,0.009107566982927001
32.708.248/0001-06,1.0940087393808702,1.0870040854173535,BOM,0.0003203277850301439,0.012042488568717816
32.708.248/0001-06,1.0940087393808702,1.0870040854173535,BOM,0.0003203277850301439,0.012042488568717816
04.443.410/0001-68,1.0924351321743275,1.0854405536092602,BOM,2.5606928211787453e-05,0.0033230974315121703
26.315.550/0001-93,1.0920626765663408,1.0850704827378452,BOM,0.0002187892562954422,0.01082254508977577
26.315.550/0001-93,1.0920626765663408,1.0850704827378452,BOM,0.0002187892562954422,0.01082254508977577
35.704.569/0001-12,1.090805770512084,1.0838216243267724,BOM,0.0004006969804983889,0.015503607666128611
27.944.533/0001-88,1.0906017159097485,1.083618876233085,BOM,5.7375088782361886e-05,0.005097793103223491
26.262.363/0001-99,1.0890736276675796,1.0821005719432528,BOM,2.928821819723243e-05,0.004366773151700758
26.262.363/0001-99,1.0890736276675796,1.0821005719432528,BOM,2.928821819723243e-05,0.004366773151700758
35.700.393/0001-20,1.088177161686438,1.081209845801074,BOM,0.0001998756911213554,0.010757291026267858
12.059.831/0001-18,1.086653225379397,1.079695666862607,BOM,8.835952256739212e-05,0.0054720518498853656
29.152.773/0001-75,1.0864717124492247,1.0795153161126074,BOM,8.824905620955532e-05,0.007099586785837683
00.398.561/0001-90,1.0821856528569216,1.0752566990472516,BOM,0.00022679520647474186,0.012245669078943004
29.045.319/0001-15,1.0814986861832783,1.0745741308428893,BOM,0.00012992642136930234,0.009257490215610337
21.101.661/0001-83,1.0792030345186572,1.0722931776399465,BOM,0.00016132512693527702,0.01015639097811156
11.175.745/0001-08,1.0791373955220596,1.072227958912805,BOM,0.00035491860777204007,0.015077014775012873
42.132.460/0001-13,1.0785813996312437,1.0716755229193464,BOM,0.00012172663454084566,0.006918996827775543
39.723.229/0001-90,1.0777245610367232,1.070824170439919,BOM,0.00029268958760666515,0.010824190810034743
15.342.510/0001-14,1.0774684294107228,1.0705696787582306,BOM,0.00031096662445280146,0.01170951199590582
37.331.342/0001-02,1.076883079777537,1.0699880769667947,BOM,0.00031566369954027666,0.011775833223823308
30.994.058/0001-69,1.0754958462203361,1.0686097255059472,BOM,0.00036271610246254145,0.01546061014005717
36.327.455/0001-63,1.0743195584994445,1.0674409692499789,BOM,0.0005491260175656118,0.017295249034382232
